wave_num,CAOX-1-1,CAOX-1-2,CAOX-1-3,CAOX-1-4,CAOX-1-5,CAOX-1-6,CAOX-2-1,CAOX-2-2,CAOX-2-3,CAOX-2-4,CAOX-2-5,CAOX-2-6,DCY-1-1,DCY-1-2,DCY-1-3,DCY-1-4,DCY-1-5,DCY-1-6,DCY-2-1,DCY-2-2,DCY-2-3,DCY-2-4,DCY-2-5,DCY-2-6,URIC-1-1,URIC-1-2,URIC-1-3,URIC-1-4,URIC-1-5,URIC-1-6,URIC-2-1,URIC-2-2,URIC-2-3,URIC-2-4,URIC-2-5,URIC-2-6,APA-1-1,APA-1-2,APA-1-3,APA-1-4,APA-1-5,APA-1-6,DCP-1-1,DCP-1-2,DCP-1-3,DCP-1-4,DCP-1-5,DCP-1-6
2.285724872,0.32755,0.34839,0.34935,0.35388,0.34328,0.33819,0.58628,0.56733,0.56792,0.56371,0.58884,0.55109,0.81939,0.79976,0.87999,0.85008,0.83309,0.8725,1.47166,1.62807,1.86053,1.82417,1.57019,1.72487,0.27515,0.27396,0.28443,0.28539,0.27645,0.26942,0.46019,0.46305,0.48593,0.46682,0.46736,0.46374,1.06536,1.062,1.05615,1.05826,1.05351,1.05136,0.7698726178957525,0.7566050279995805,0.772766526284216,0.7532706489749345,0.7560502705673833,0.7553509704952281
2.271258326,0.327,0.33821,0.32031,0.34896,0.33764,0.33996,0.58255,0.55101,0.54945,0.55471,0.58812,0.55215,0.9219,0.88561,0.929,0.93913,0.91426,0.95076,1.57878,1.66774,1.86738,1.90415,1.69873,1.78794,0.25835,0.24952,0.25289,0.26379,0.26385,0.25491,0.41953,0.42953,0.44615,0.4362,0.43696,0.43089,1.08007,1.06747,1.0627,1.05925,1.02382,1.04685,0.7504599920760358,0.7486544805107497,0.7564957121942316,0.7476934346594648,0.7515428269733611,0.7402974260336653
2.256791779,0.32769,0.32982,0.29941,0.34268,0.33437,0.34207,0.56148,0.54988,0.54036,0.5639,0.59068,0.56477,0.98569,0.98936,0.98649,1.02043,1.01214,1.02405,1.96633,1.75902,1.79717,2.09142,1.80325,1.84448,0.24434,0.23212,0.23125,0.25036,0.25445,0.24642,0.40039,0.40029,0.42057,0.40965,0.41729,0.41068,1.06822,1.06852,1.0496,1.046,1.0321,1.02778,0.7668643926045071,0.7448424168221175,0.7356189261077568,0.7346240266156183,0.7328627571841722,0.7389225951018341
2.242324932,0.32791,0.32591,0.30527,0.34038,0.33368,0.33652,0.54349,0.55801,0.54377,0.5741,0.58237,0.57208,1.02752,1.06263,1.06017,1.05675,1.13805,1.04369,1.74814,2.12077,1.85826,2.07468,1.7916,1.88872,0.22871,0.22457,0.22249,0.2425,0.24277,0.23955,0.39016,0.37575,0.39911,0.38785,0.40049,0.39678,1.05815,1.05882,1.04426,1.04335,1.0165,1.0221,0.7346961216171997,0.7315365387966437,0.7358249756889352,0.7291954692637651,0.7268735056109069,0.720351417564132
2.227858386,0.32404,0.31834,0.327,0.33743,0.3313,0.32566,0.53348,0.55436,0.55206,0.56206,0.56597,0.57366,1.10772,1.09127,1.12499,1.09254,1.20442,1.03455,1.54247,1.7205,2.17941,2.0144,1.75178,2.12191,0.21242,0.22142,0.21958,0.23573,0.22842,0.23502,0.37763,0.35686,0.37874,0.36627,0.38785,0.38139,1.05463,1.06057,1.04311,1.04034,1.01863,1.023,0.7235411218390984,0.7153730798010484,0.7139848298568133,0.7195569355994755,0.7124114072775681,0.7118082425132075
2.213391839,0.31773,0.30894,0.3315,0.32159,0.32577,0.3137,0.52621,0.54179,0.55138,0.53963,0.55884,0.56352,1.15662,1.10658,1.10939,1.14536,1.13284,1.04569,1.59181,1.86887,2.17185,1.95846,1.67302,1.90902,0.20328,0.21537,0.21505,0.22585,0.21344,0.22585,0.35692,0.34296,0.36743,0.35155,0.37741,0.3623,1.05069,1.03664,1.02945,1.01817,1.0097,1.0271,0.7098625672737944,0.7012662219979553,0.700720245660377,0.6905571947636787,0.7003423534096955,0.6975633664747904
2.198925293,0.31135,0.3053,0.31554,0.29884,0.3197,0.3031,0.52354,0.54051,0.54688,0.53255,0.55439,0.54052,1.12497,1.10321,1.0473,1.13448,1.07457,1.06781,1.73609,1.74832,2.16209,1.80959,1.8096,1.63811,0.20269,0.20512,0.20879,0.20964,0.20326,0.20957,0.33829,0.3343,0.36261,0.34678,0.36291,0.3418,1.02903,1.03842,1.02193,1.01999,1.0164,1.0068,0.6998596902774512,0.6975965010489252,0.6839646439824332,0.6850625955512849,0.6867642752641844,0.6988664228844778
2.184458446,0.30679,0.30389,0.30733,0.28911,0.31228,0.29899,0.52212,0.54433,0.55012,0.53853,0.53727,0.52524,1.0852,1.07296,1.01222,1.07767,1.06509,1.08328,1.81715,1.92324,2.07815,1.78251,1.98891,1.62529,0.20215,0.19807,0.20077,0.19293,0.19675,0.19335,0.33216,0.32874,0.35233,0.34441,0.34515,0.32628,1.01547,1.03885,1.00439,1.0139,0.98699,1.00594,0.6876534045556603,0.6826921485377354,0.6830217387632073,0.6724148418264148,0.6641687326990565,0.671377875164151
2.169991899,0.30565,0.3014,0.30931,0.29565,0.30597,0.2987,0.52323,0.54346,0.54706,0.54156,0.51831,0.52246,1.03772,1.03457,1.00138,1.05209,1.04539,1.09014,1.85465,1.8349,1.95695,1.79928,1.77121,1.65098,0.19721,0.19526,0.19348,0.18739,0.1894,0.18391,0.33176,0.32188,0.33436,0.34311,0.32722,0.31835,1.01531,0.99798,1.009,1.002,0.98107,0.99432,0.6788149710616351,0.6714504000400943,0.6691133256641506,0.6759111406245283,0.6584113767006288,0.6633972233433953
2.155525353,0.30748,0.30259,0.30371,0.30655,0.30186,0.29664,0.53716,0.54286,0.52813,0.54617,0.51229,0.51892,1.01981,1.00554,0.99535,1.03113,1.03095,1.04927,1.82757,1.7626,1.98377,1.80351,1.85453,1.66011,0.19107,0.18743,0.19219,0.19185,0.18361,0.18081,0.32641,0.31425,0.31621,0.34021,0.31367,0.31153,1.02986,1.00694,1.00321,0.97952,0.98045,0.97538,0.6707785408544306,0.655370554483062,0.6611099847196642,0.6507482011118505,0.6603888036886205,0.6519937965535924
