wave_num,S31,S32,S34,S35,S36,S37,S38,S39,S41,S42,S45,S48,S49,S50,S52,S54,S55,S57,S58,S62,S64,S69,S70
3.573253525,1.711665,1.57215,1.010228333,0.942085,1.639696667,1.26524,1.224911667,0.88345,0.920588333,1.201855,1.042588333,1.678305,0.759126667,0.773605,0.563678333,1.886038333,2.079748333,0.961665,1.396536667,0.807276667,0.835913333,2.300041667,0.838876667
3.558786679,1.719633333,1.561401667,1.002733333,0.93188,1.65835,1.255953333,1.212886667,0.869343333,0.914153333,1.186898333,1.029265,1.63557,0.746455,0.762056667,0.546818333,1.862115,2.033486667,0.93989,1.394323333,0.791688333,0.818561667,2.259606667,0.81853
3.544320132,1.70445,1.557651667,0.987121667,0.924845,1.634383333,1.241953333,1.19725,0.854993333,0.908736667,1.178215,1.021196667,1.615925,0.733781667,0.754455,0.531075,1.822986667,2.056245,0.920138333,1.396808333,0.77588,0.803688333,2.27121,0.804168333
3.529853585,1.670688333,1.557021667,0.974408333,0.918573333,1.584763333,1.22661,1.186141667,0.843806667,0.896695,1.173906667,1.017328333,1.63656,0.721236667,0.746068333,0.517176667,1.82976,2.070178333,0.905551667,1.393293333,0.758623333,0.79138,2.350215,0.792186667
3.515387039,1.633166667,1.553405,0.969176667,0.909525,1.555813333,1.214668333,1.174615,0.829463333,0.877398333,1.171586667,1.014245,1.649376667,0.707925,0.733185,0.504775,1.857971667,2.018718333,0.891565,1.379173333,0.745508333,0.777023333,2.335696667,0.778975
3.500920492,1.606335,1.552451667,0.96865,0.894951667,1.550618333,1.204165,1.159563333,0.812245,0.859825,1.166056667,1.001973333,1.626378333,0.695043333,0.718396667,0.492996667,1.867531667,2.038436667,0.875913333,1.356241667,0.735341667,0.759605,2.270211667,0.765196667
3.486453645,1.614268333,1.545788333,0.969315,0.880773333,1.536776667,1.192786667,1.15017,0.801721667,0.848513333,1.155533333,0.983421667,1.584635,0.682163333,0.70618,0.48223,1.868778333,2.032368333,0.862023333,1.336145,0.723595,0.744008333,2.330588333,0.752621667
3.471987099,1.635893333,1.528905,0.966151667,0.873778333,1.513085,1.18385,1.143353333,0.797073333,0.840065,1.148195,0.970138333,1.554111667,0.668948333,0.697261667,0.472943333,1.865226667,2.080736667,0.851203333,1.326505,0.711256667,0.73258,2.396456667,0.742696667
3.457520552,1.64288,1.509203333,0.959146667,0.871146667,1.51075,1.17588,1.129353333,0.787955,0.832423333,1.145831667,0.964685,1.550475,0.656226667,0.690443333,0.464431667,1.841186667,2.083485,0.840661667,1.31856,0.699958333,0.722128333,2.40804,0.734996667
3.443054005,1.622071667,1.493328333,0.95282,0.860508333,1.504113333,1.167708333,1.110171667,0.774465,0.826898333,1.14346,0.959898333,1.564971667,0.643953333,0.683696667,0.455715,1.791406667,2.06653,0.829375,1.317596667,0.690306667,0.709626667,2.41472,0.727585
3.428587159,1.595503333,1.473841667,0.948608333,0.84831,1.483993333,1.161353333,1.09701,0.763101667,0.821848333,1.135541667,0.952201667,1.582281667,0.631331667,0.676343333,0.445935,1.763601667,1.944865,0.818196667,1.326171667,0.681698333,0.695473333,2.202483333,0.717603333
3.414120612,1.58316,1.45418,0.941906667,0.844045,1.471705,1.151768333,1.087895,0.752583333,0.813925,1.118418333,0.944588333,1.591348333,0.620403333,0.670133333,0.435478333,1.753175,1.95873,0.805856667,1.324325,0.672165,0.681611667,2.083886667,0.703846667
3.399654065,1.56944,1.449606667,0.930071667,0.845261667,1.457505,1.143366667,1.074371667,0.740586667,0.80362,1.106651667,0.939866667,1.563238333,0.612541667,0.663643333,0.425723333,1.74984,1.979301667,0.792288333,1.311903333,0.662843333,0.669093333,2.103848333,0.689713333
3.385187519,1.541108333,1.457745,0.919523333,0.841086667,1.436456667,1.142556667,1.056098333,0.730748333,0.793303333,1.104836667,0.937086667,1.532165,0.604186667,0.655476667,0.417055,1.762921667,1.96858,0.781201667,1.298838333,0.654935,0.65808,2.228208333,0.679666667
3.370720972,1.50456,1.462386667,0.915715,0.827348333,1.436443333,1.141421667,1.047151667,0.726275,0.78683,1.098373333,0.9332,1.526958333,0.593931667,0.64771,0.408986667,1.801546667,1.918053333,0.77278,1.291043333,0.645553333,0.64953,2.139686667,0.672948333
3.356254125,1.467833333,1.461181667,0.915456667,0.811071667,1.453593333,1.132256667,1.052991667,0.722955,0.78542,1.08578,0.924571667,1.532395,0.585146667,0.641511667,0.401688333,1.811313333,1.912806667,0.764241667,1.291848333,0.633593333,0.641628333,2.043348333,0.663731667
3.341787579,1.435313333,1.465395,0.911975,0.803046667,1.450985,1.121425,1.058936667,0.715106667,0.783756667,1.08048,0.909596667,1.520081667,0.579985,0.63579,0.3959,1.75709,1.899033333,0.757213333,1.292068333,0.622673333,0.630408333,2.056543333,0.652526667
3.327321032,1.410895,1.476851667,0.904553333,0.801778333,1.43459,1.115101667,1.05165,0.703741667,0.777766667,1.08198,0.895533333,1.491541667,0.57712,0.629768333,0.391185,1.69017,1.874758333,0.752403333,1.281215,0.616525,0.618146667,2.090255,0.644628333
3.312854485,1.3982,1.48244,0.901515,0.798271667,1.430756667,1.110856667,1.042158333,0.694013333,0.766963333,1.076368333,0.889058333,1.48141,0.573406667,0.62242,0.386126667,1.668226667,1.914286667,0.744928333,1.268138333,0.613828333,0.609283333,2.143378333,0.63704
3.298387639,1.391691667,1.473593333,0.904543333,0.794513333,1.435091667,1.102995,1.041203333,0.686768333,0.755543333,1.062363333,0.888673333,1.482793333,0.566366667,0.615353333,0.38069,1.666056667,1.800236667,0.734275,1.266168333,0.609435,0.602493333,2.100071667,0.625536667
3.283921092,1.385558333,1.452151667,0.905365,0.793031667,1.416911667,1.091021667,1.042328333,0.680363333,0.749043333,1.053111667,0.890503333,1.484393333,0.558835,0.611695,0.37612,1.650855,1.786315,0.724975,1.272,0.602061667,0.595641667,2.052023333,0.614088333
3.269454545,1.375313333,1.438808333,0.902138333,0.78836,1.391543333,1.0822,1.036298333,0.675861667,0.74844,1.054153333,0.890565,1.499151667,0.555405,0.610255,0.3721,1.622231667,1.81424,0.717003333,1.274103333,0.594738333,0.589573333,2.03413,0.606773333
3.254987999,1.348013333,1.444435,0.89987,0.778895,1.391818333,1.080251667,1.025535,0.671793333,0.748275,1.057435,0.889011667,1.517066667,0.552748333,0.607441667,0.367036667,1.592001667,1.839258333,0.707051667,1.275106667,0.5878,0.584418333,1.988848333,0.602795
